Initiative,Project name,Funding,Dev (s),Collaborator 1,Collaborator 2,Topic,Outcome,Status,Start,End,Length,Link,Description
Toyoshima S1,HYŌHI,Toyoshima,Adriana Nassou,Minami Lab,B.J. Kim Lab,Health & Wellbeing,Speculative,Complete,10/2018,4/2019,6,,"If your skin is sensing the world around you, HYOHI is sensing the world inside you. HYOHI is a system that allows easy monitoring of your body’s nutrient, vitamin and hormone levels along with other biometrics in order to help you address your unique body needs."
Toyoshima S1,VIBE,Toyoshima,Adriana Nassou,Minami Lab,,Health & Wellbeing,Speculative,Complete,10/2018,4/2019,6,,"The human body reacts intuitively to different rhythms. Calm and positive states can be triggered with slower vibrotactile rhythms, while conversely states of excitement have been associated with faster tempos like the effect of dance music. VIBE is a system that stimulates your body through a personalised vibrotactile experience."
The Tokyo Toilet,Penny,Nippon foundation,Miles Pennington,Imai Lab,Honma Lab,Spatial Design & Prototyping,Deployed,Complete,3/2019,2/2023,47,,"…With Toilet Does a public toilet ever try to be the centre of attention in a local community? Public toilets can often become underused, lose their value to people and gradually forgotten. To try and reverse that trend we created ‘...With Toilet’. It is a public toilet combined with an additional functional space. That secondary space could be many things: a display area, pop-up kiosk, a mini-exhibition, a small information centre, or a cosy meeting place. The space acts as a magnet to the surrounding society, inviting all ages and genders to enjoy the amenities with other delights of their neighbourhood."
Toyoshima S2,Four,Toyoshima,Adriana Nassou,,,Spatial Design & Prototyping,Speculative,Complete,5/2019,9/2019,4,,"We live in a 3-dimensional world. Four adds another dimension, that of information. Four is a tool that applies digital functions to the physical world, by assigning tasks to nodes through an application. These nodes can be used as modular switches connected to IOT devices. They could also be used for setting up important notifications or for navigating and discovering your surroundings."
Toyoshima S3,Dust to Dust,Toyoshima,Flora Well,Sakai Lab,,Materials & Matter,Concept,Complete,10/2019,4/2020,6,,"Dust to Dust is a service platform for redesigning and redistributing waste as a commodity. It focuses on a new type of zero-byproduct material, called vegetable concrete, developed by Sakai Lab. This material combines industrial waste with vegetable waste, binding leftover gravel with the fibers and natural polymers found in organic materials. The project leverages vegetable concrete’s ability to retain the texture, smell, and color of the chosen vegetable component. Users of the platform can select products from an existing range of basic flavors and shapes or create their own custom objects. The project responds to the increasing need to turn towards environmentally friendly resources, both on the infrastructure level and the individual level."
Toyoshima S3,Piel,Toyoshima,Flora Well,Yoshie Lab,,Materials & Matter,Concept,Complete,10/2019,4/2020,6,,"PIEL is a concept for shape memory packaging, proposed as replacement of current perishable food plastic packaging. This project builds on Yoshie Lab’s research on environmentally responsive polymers. The proposed packaging provides information about the food that it contains by changing patterns and shape. It is specifically directed towards protein-based perishables such as fish or meat that are widely wasted due to binary expiration date systems and consumer perception of freshness."
Mobility nanolab,Ripple,NICT,Yuri Klebanov,Suda Lab,,Future Mobility,Prototype,Complete,1/2020,5/2021,16,,"Project Ripple is a prototype of a floor-based interface designed for autonomous public vehicles like shuttle buses. The goal is to restore trust between passengers and driverless vehicles, addressing the disconnection caused by the absence of a human driver. By using the vehicle’s floor as an interactive communication tool, Project Ripple allows solitary passengers to effectively engage with the autonomous bus, fostering a sense of security and connection."
,Healthy Sento,,Naoto Takayama; Miles Pennington,Hakuhodo,,Spatial Design & Prototyping,Concept,Complete,3/2020,4/2020,1,,
Toyoshima S4,Probes,Toyoshima,Flora Well,Yagi Lab,,Materials & Matter,Prototype,Complete,5/2020,9/2020,4,,"Probes is an exploration of paintable batteries on flexible materials, as a source of power for disposable diagnostic devices. The project proposes an alternative to existing diagnostic technologies by combining a paper battery, a sensor, and a simple indicator. These components were used to create a series of low-power, single-use, disposable diagnostic tools, which would make testing devices more accessible and more sustainable."
Toyoshima S4,Almanac,Toyoshima,Flora Well,Kitazawa Lab,,"Ecology, Environment & Sustainability",Speculative,Complete,5/2020,9/2020,4,,"Almanac is a biodiversity-driven consumption system that supports Kitazawa Lab ‘s research on integrated multitrophic aqua- culture (IMTA), a new sustainable marine food production method that reduces eu- trophication and uses nutrient conversion to increase the diversity of grown organ- isms. The project aims to increase demand for environmentally friendly aquaculture by providing a digital market platform and a variety of new marine consumer products."
,Thinking Wave,NICT,Alisa Koegel,Nakano Lab,,Future Mobility,User test,Complete,7/2020,5/2021,10,,"As we progress towards a world of fully autonomous vehicles, designing semi-autonomous solutions will be essential in addressing road and behavioural safety. In particular, designing and calibrating trust will be a key part of delivering a safe experience for all stakeholders. The Thinking Wave is an ongoing exploration on visualising the capabilities of vehicle system so that drivers can understand when and how they should take over the wheel. Over-trusting a vehicle system’s capacity to drive and handle situations can lead to hazardous accidents but the same result could occur by under-trusting. Under-trusting AVs in simple scenarios and forcefully taking the wheel could increase risk of accidents. Human error may become a factor in when otherwise mitigated. In conjunction with mobility research teams at the University of Tokyo, we are building the Thinking Wave as a testable prototype. At present, DLX is exploring two visualisation designs. Concept one, called “tidal” is a wave which indicates the level of difficulty the vehicle is encountering, suggesting the driver to adjust control or takeover. It fluctuates in intensity (amplitude, frequency and speed) to reflect the effort of the vehicle system. We took inspiration from existing and familiar visualisations of human ECGs as such biometric data is intuitive. In the same way humans under stressful conditions such as heart-rate, the vehicle would reflect intensity with multiple waves close to one another of high amplitude when going through a difficult handle-situation. For example, in the instance of driving through heavy rain, visibility is lowered and the vehicle’s sensors may be compromised in detecting its surroundings. As the system would struggle to adequately handle the situation, the wave would appear high, frequent and fast. Concept two, called “tandem” is a multi-information layer visualisation. It focuses on showing the collaboration dynamic between vehicle and driver on top of also showing the vehicle’s effort throughout various scenarios. A circle, symbolising the driver and a square symbolising the vehicle system changes in size, position and rotation speed to reflect this. The leading controller within a scenario would be on the top (front) of the visual. The larger/smaller each shape shows which of the two is putting more/less effort into handling the scenario respectively. As for the vehicle system’s thinking effort, the more complex the situation (regardless of which was primary or dominant), the faster it spins. The Thinking Wave designs show potential in helping drivers not only calibrate their expectations but also establish trust in AVs. We also believe that it can be an effective tool which evolves both with the technology and driver to establish a safer and more effective AV future. If the Thinking Wave can learn driver’s handling tendencies, it could help the vehicle system adapt and control in a more preferable manner to the driver. Furthermore, with software updates and enhancements in autonomous systems, the wave’s confidence visualisation can be altered to help drivers recalibrate their trust. This concept demonstrates potential in educating drivers while giving way for innovation to still be enabled and adequate to the designs. It could even be said that because of this, it is a suitable and promising concept that continues to evolve beyond near-future autonomous innovations."
,Hataya ,NICT,Yuri Klebanov,Nakano Lab,,Future Mobility,Prototype,Complete,7/2020,5/2021,10,,"Project Hataya proposes a control system which allows the driver fast transition between manual and autonomous driving in level 2-3 AVs. The design features two handles which allow steering, acceleration and breaking. In autonomous mode the handles tilt to reflect the current steering direction, allowing faster takeover in case of emergency."
Toyoshima S5,In Praise of shadows,Toyoshima,Flora Well,Takeuchi Lab,,"Ecology, Environment & Sustainability",Concept,Complete,10/2020,4/2021,6,,"In Praise of Shadows is a virtual forest explorer that is designed to encourage sustainable behavior. The project focuses on forest reflectance simulation research led by remote sensing researcher Takumi Fujiwara, which uses shadow parameters to estimate 3D models of forests. The platform serves as a repository of detailed explorable forests across the globe, as well as a personal carbon footprint visualiser."
Toyoshima S5,Birdseye,Toyoshima,Flora Well,Takeuchi Lab,,Interfaces & Systems,Concept,Complete,10/2020,4/2021,6,,"Birdseye is a crowdsourced information platform that connects stories to geospatial datasets. The platform, developed with remote sensing researchers, allows users to pair each post with environmental data. The goal of the collaboration was to democratize access to spatial analysis tools and propose alternative ways for individuals to perceive the complex relationships between global events, personal narratives, and environmental changes."
OMNI,Microplastics,Nippon foundation,Tomomi Sayuda ; Christian Felsner,,,"Ecology, Environment & Sustainability",Deployed,Complete,4/2021,3/2022,11,,
GIDxDLX #1,Cell to fork,GID/DLX,Ahad Mahmood,Takeuchi Lab,,Biotech & Bioengineering,Speculative,Complete,4/2021,7/2021,3,, a speculative cookbook that explores the culinary opportunities created by cultured meat
GIDxDLX #1,The Boo,GID/DLX,Alasdair Grant,Takeuchi Lab,,Health & Wellbeing,Speculative,Complete,4/2021,7/2021,3,,An artificial creature which senses and provides companionship through subtle sensorial experience
GIDxDLX #1,Saku,GID/DLX,Cathie Peng,Takeuchi Lab,,Biotech & Bioengineering,Speculative,Complete,4/2021,7/2021,3,,A fine dining experience designed for cultured meat
GIDxDLX #1,Takeu Clip,GID/DLX,Aura Murillo,Takeuchi Lab,,Health & Wellbeing,Speculative,Complete,4/2021,7/2021,3,,The Takeu Clip is designed to push the boundaries of our sense of smell.
Toyoshima S6,Matra,Toyoshima,Flora Well,Takeuchi Lab,,Biotech & Bioengineering,Tech demonstrator,Complete,5/2021,9/2021,4,,"Matra is a proposal to grow mechanical components from living cells and assemble them into biohybrid devices that can main- tain the ecosystem services of keystone species. It is an exploration of alternative, lab-grown mechanisms that can mitigate the effects of climate change without disturbing the environment."
Toyoshima S6,Mooshi,Toyoshima,Flora Well,Takeuchi Lab,,"Ecology, Environment & Sustainability",Tech demonstrator,Complete,5/2021,9/2021,4,,"Mooshi is a system that uses artificial nose technology to help consumers make more sustainable purchases. It empowers people to understand how things were grown, where they came from, and what their impact is."
Open Microlab,Chameleon,Fuji Seal foundation,Yu Uchikura ; Naoto Takayama,Sugihara Lab,,Materials & Matter,Prototype,Complete,11/2021,6/2024,31,,
OMNI,Marine Litter,Nippon foundation,Tomomi Sayuda ; Max Fischer,,,"Ecology, Environment & Sustainability",Deployed,Complete,4/2022,3/2025,35,,"Through the design of communication methods that make marine litter research accessible to the general public, and through the design of places that provide an opportunity for everyone to think together and take action, we aim to reduce marine litter while researchers and local people learn from each other."
,AICOM,AICOM,Tomomi Sayuda ;Jenna Wang,Sugano Lab,,Interfaces & Systems,User test,Active,4/2022,4/2025,36,,"AICOM is a project to design a new mechanism for the public and researchers to interact and develop AI together through games and workshops. Through these games and workshops, AICOM gathers diverse data for researchers while also teaching the general public about AI. The first game was about gaze estimation (eye tracking) using a standard webcam. It was tested with various groups, from children to the elderly. We are currently developing a new game focused on image-to-text descriptions, with the purpose of gathering detailed, specific descriptions of images to uncover and fill in gaps and biases within AI."
Treasure Hunt 2022,Skin vessel,DLX,Yu Uchikura ;Naoto Takayama,Hasegawa Lab,,Interfaces & Systems,Prototype,Complete,4/2022,3/2023,11,,"Our body's heat distribution is unique to each individual, depending on height, weight, gender, place of residence and daily behaviour patterns. An ultra-efficient body temperature regulation suit is expected to enhance daily comfort, maximise physical performance and ultimately extend the human habitable zone. By utilizing the thermal fluid optimisation methods studied in the Hasegawa lab, 'another blood vessel' network: SKIN VESSEL, covering the body surface, is designed to reflect the user's unique physical characteristics."
Treasure Hunt 2022,Hyperion,DLX,Yu Uchikura ;Naoto Takayama,Tatsuma Lab,,Materials & Matter,Speculative,Complete,4/2022,3/2023,11,,"Hyperion is an example of how basic research and design labs can work together. Even if the research is on an extremely nano-scale and the technology is not feasible right now, we can envision a possible future and think more clearly about the technology. The Tatsuma Lab is researching the processing of tiny particles not through engineering, but through a chemical approach. By combining these particles, it may be possible to create materials that can control light deliberately. This time, we attempted to visualize a future in which this is realized."
Treasure Hunt 2022,Air visualiser,DLX,Yu Uchikura ;Naoto Takayama,Hasegawa Lab,,Interfaces & Systems,Concept,Complete,4/2022,3/2023,11,,"How would our lives change if airflow could be visualised in real time and controlled more intuitively? It might be possible to change the airflow according to our mood, to send our favourite breeze to our favourite places, or to change the layout of our furniture according to the wind path. At the Hasegawa Laboratory, research is underway to combine simulation and sensing to create real-time airflow data. Combining this data with MR could create intuitive interaction with the air through visuals."
GIDxDLX #2,Urban cold islands,GID/DLX,Fanny Chavanne,Kikumoto Lab,RCA,Spatial Design & Prototyping,Concept,Complete,5/2022,7/2022,2,,"This project developed with Kikumoto LAB inside The University of Tokyo aims to create sustainable refreshing public space for inhabitants of urban heat island. Using natural resources like rain water and wind, the inside temperature cools down thanks to evapotranspiration. The shape of what could then become a kiosque, a bus stop, or simply the next bench is here inspired by wind flow simulation"
GIDxDLX #2,Polytile,GID/DLX,Vedika Lall,Yoshie Lab,RCA,Materials & Matter,Speculative,Complete,5/2022,7/2022,2,,"Polytile is a two-month project to investigate the confluence of speculative material, self-healing polymers, and the delicate science of Kirigami. Yoshie Lab is researching ""Self Healing Polymers,” which heals itself with unprecedented speed and efficacy when cut or damaged. Polytile proposes the principle of selective and delayed healing in order to examine stimuli-driven polymers while enabling them to heal at various targeted thresholds. The Framework provides material scientists with a new tool to investigate approaches and applications for self healing polymers."
,Coral Rescue,HUB,Tomomi Sayuda,,,"Ecology, Environment & Sustainability",Deployed,Active,8/2022,4/2025,32,,"Coral reefs are the most biodiverse habitats in the world, yet one-third of the world's coral species are threatened with extinction. The Coral Rescue project was conceived as a way for the general public to participate in coral conservation research projects. Coral Rescue's IoT kits are used to grow coral and return it to the sea to help preserve the marine environment."
,TAG,Daiwa foundation,Miles Pennington,Oxford Brookes University,,"Ecology, Environment & Sustainability",Prototype,Complete,10/2022,6/2023,8,,"The mission of TAG project is to develop new wildlife monitoring methods. The importance of wildlife monitoring is gaining higher and higher for environmental conservation, with the rapid climate change in recent years. However, attaching GPS to wild animals is a very hard work, especially for medium to large mammals, and the use of anesthesia guns and traps can be unsafe for not only the animals but also for person. The TAG team is developing an ""Applicator"" that will allow trackers to be attached safely and easily. We've been exploring ideas based on design thinking and feasible ways to achieve this through repeated prototyping and testing. In this exhibition, we will introduce the development process of the applicator. In the future, we aim to create a comprehensive and completely new monitoring method by utilizing new technologies - ICT, Al, satellite, drones - by cooperation with researchers in IIS."
,Jasmine,JSPS KAKENHI,Hyunjung Kim,JARI,NAIST & KAIST,Future Mobility,User test,Complete,10/2022,3/2025,29,,"MIRAbot is a reimagined rearview mirror designed as a driving assistant for SAE Level 3 semi-autonomous vehicles. It seamlessly transitions between functioning as a standard rearview mirror and an interactive assistant, supporting manual driving, autonomous driving, and the transitions between them. Using anthropomorphic movements and voice prompts, MIRAbot directs attention during takeovers and enhances driver engagement. Its goal is to make semi-autonomous driving more supportive, enjoyable, and accessible to all."
BY5G,The remote driver ,NICT,Federico Trucchia ;Hemal Dias ;georgia@designlab.ac,,,Future Mobility,Speculative,Complete,10/2022,3/2025,29,,"Welcome to the world of Remote Driving, where an operator can control connected vehicles from anywhere in the world. With 6G providing extremely low latency and high bandwidth,  drivers can control single vehicles or supervise multiple semi-autonomous fleets. The impact of this technology on the driving profession is profound: Taxi services now operate on an app running in your own vehicles and connect to an operation centre.  Fleets of trucks are supervised by a single person who only takes control when the system is approaching areas that require complex maneuvering. 6G-Connected vehicles can be operated remotely: a person can take full control of the vehicle, controlling speed and direction when required. "
BY5G,Rural 5G,NICT,Federico Trucchia ;Hemal Dias ;georgia@designlab.ac,,,Future Mobility,Speculative,Complete,10/2022,3/2025,29,,"In this world, we introduce you to an evolved rural Japan where 6G is used to deploy a fleet of cheap driverless shuttles that operate on a 6G network. Quality of life will be improved by having public transport that can identify you and your pick-up location seamlessly, thereby reducing any friction in commuting. We believe that 6G can decrease reliance on private vehicles in sparsely populated rural areas. A key element of this system is the 6G enabled travel card that will allow you to summon a bus when you need it. We believe that the rural ageing communities will be mobilized by the help of cheap public transport where people can meet fellow villagers and travel together.  This service encompasses a new model for public transport: one that has no predefined routes, is available anywhere on demand, and whose fleet size is dynamically adjusted to balance demand. 6G ability to act like a distributed sensor and precise positioning capabilities are used to run a fleet of inexpensive, driverless shuttles in the rural areas.​ Shuttles connect to a digital twin* of the territory that is aware of every connected device and takes environmental real time information from the network. This eliminates the need for expensive onboard computing power and sensors. "
BY5G,Responsive Network,NICT,Federico Trucchia ;Hemal Dias ;georgia@designlab.ac,,,Future Mobility,Speculative,Complete,10/2022,3/2025,29,,"Welcome to the world of Responsive Networks where 6G helped to create an infrastructure that reacts to sudden disruptions (flood/snow/traffic) around you.  6G has the potential to revolutionise the way we collect and process environmental data, drastically decreasing the time necessary to assess changes in the territory and reach out to people in danger . Here, we show the adaptations to increasing extreme weather conditions and how connected mobility elements (traffic lights, billboards, navigation systems, etc) could use 6G’s capabilities and drive people/traffic away from areas that are unsafe in real-time. Technology is going to help reduce vital decision-making time and optimise the way emergency situations are handled. The system is constantly measuring personal risks, such as social risk, geographical risk, disaster risk, traffic congestion, etc. With this data, the system can clearly provide every citizen with a unique plan of action. 6G antennas could sense the environment similarly to how radars detect objects' presence and determine type, shape, relative location and velocity; coupling this data with imagery from cameras and other sensors could enable a large-scale, real-time digital instance of the territory. 6G-connected public infrastructures, personal devices, and granular public data sources will be able to measure parameters such as social vulnerability, disaster probability, temperature, traffic levels, and live images and therefore respond to traffic congestion, damaged roads, fires, or accidents. "
BY5G,Ubiquitous Navigation,NICT,Federico Trucchia ;Hemal Dias ;georgia@designlab.ac,,,Future Mobility,Speculative,Complete,10/2022,3/2025,29,,"Welcome to the world of Ubiquitous Navigation, where precise 6G positioning is used to find not only places but specific people and things, indoor or outdoor. Navigation apps are now a thing of the past: personal devices work together with connected physical landmarks, helping you reach the desired destination by providing visual feedback. In this future of super precise navigation, you will no longer ask ""Where is the supermarket?"" but ""Where can I find salad?"" instead. This could drastically decrease screen reliance to get around places and provide a better experience in complex situations ( eg. in stations, hospitals, or shopping malls).  Compared to 5G, 6G will rely on many smaller antennas to operate, thus offering a higher resolution in retrieving the position of connected devices."
Treasure Hunt 2023,Xylophone,DLX,Federico Trucchia ;Naoto Takayama,Ambient mechatronics Lab,,Materials & Matter,Tech demonstrator,Complete,9/2023,3/2024,6,,Project Xylophone is part of the 2023 Treasure hunting campaign and started as collaboration with Yamamoto sensei. The initial briefing from the lab was to scout novel application for their electrostatic actuator technology. Such technology has been in development since the 90’s but the only tangible application so far has been advertisement Kawaguchi Denki is already partnering with the ambient mechatronics lab to make installations and product with electrostatic actuators.
Treasure Hunt 2023,Tabemaru,DLX,Federico Trucchia ;Naoto Takayama,Applied entomology lab,,"Ecology, Environment & Sustainability",Prototype,Active,10/2023,4/2025,18,,"Tabemaru, is a compact, user-friendly Black Soldier Fly (BSF) composting system designed for small-scale food businesses. Unlike industrial composting operations, our system is sized for on-site integration into restaurants, cafés, and canteens, as these businesses produce a steady amount of organic waste but lack practical composting options.Tabemaru enables them to process food waste into frass using BSF larvae, while minimizing odor, contact with insects, and maintenance requirements. The system is designed for integration into existing operations, making BSF composting possible at a local scale. Our design applies entomology research to create optimal conditions for BSF larvae within a automated system that fits seamlessly into existing operations. Beyond the physical composter, we are developing a reverse logistics model that completes the nutrient cycle. The frass produced by the units would be collected and redirected to local farms, ideally through the same supply chains delivering ingredients to participating businesses. This approach creates measurable circularity by linking waste management with regenerative agriculture. If the approach is proven effective through our staged validation process,, Tabemaru could play a crucial role in the transformation of the food system into a more circular model that can be deployed across different urban and peri-urban contexts."
Treasure Hunt 2024,Rattatouille,HUB,Hyunjung Kim,Veterinarian Ethology Lab,,"Ecology, Environment & Sustainability",Concept,Active,5/2024,4/2025,11,,"In collaboration with the veterinary ethology lab, we aim to explore ways to coexist with urban rats by helping people recognize that, while they are considered pests, they also play a role in the urban ecosystem. This project has two main goals: To observe and 3D reconstruct urban rat burrows, which has not been possible until now due to the lack of appropriate tools. To create an interactive installation that allows people to observe urban rats without bias and reflect on coexistence with urban wildlife."
Treasure Hunt 2024,Dalì,HUB,higaki@iis.u-tokyo.ac.jp,Mayumi Lab,,Materials & Matter,Prototype,Complete,5/2024,3/2025,10,,Initial studies in finding ways to showcase and communicate the behavior of the new gel materials: shake gel and tough gel.  The goal of this study is to deepen the understanding on how each gels behave in certain situations and containers.  The goal is to trigger design ideas in further use cases through primitive prototyping. 
,Hyper-K,HUB,Naoto Takayama ;Federico Trucchia,IPMU,,Spatial Design & Prototyping,Deployed,Active,5/2024,4/2025,11,,"The DLX supports the development of the Hyper-K Intermediate Water Cherenkov Detector (IWCD) through rapid and full-scale prototyping.  The goal is to validate and optimise the mechanical design, reducing risks and ensuring the project is delivered on time.  By using both low-resolution and high-resolution prototypes, the DLX aims to provide crucial feedback to improve and deploy the design efficiently."
,Road sign #1,DLX,Naoto Takayama ;Kanna Nagamoto,ITS Center,,Future Mobility,Deployed,Complete,5/2024,9/2024,4,,"The Kashiwa sign is designed for the autonomous bus that operates between Kashiwanoha-campus Station and Kashiwa 1 Campus. These autonomous buses need to switch from automatic to manual driving when encountering obstacles like park on the side of the road Additionally, it is necessary to make citizens aware of these buses and encourage their cooperation. We designed icons for road markings to let the citizens know about the bus, and floating optical illusion road markings to deter unnecessary parking on the roads used in the tests."
,Collins,AS Partners,Yu Uchikura ;Tomo Loeer ; Jenna Wang ; Kanna Nagamoto,,,Health & Wellbeing,Concept,On hold,1/2025,3/2025,2,,"This project focuses on exploring the future of care in an aging society by 2040, incorporating AS partners expertise × IIS cutting-edge technology × DLX design approaches to rethink the  elderly home experience to achieve enriched living experiences and foster a sense of connection and well-being. While the project originally started with the theme of loneliness, throughout the process it expanded to more broadly encompass elderly care improvements in general. "
,Wisdom tamagotchi,,Naoto Takayama,Ikeuchi lab,,Biotech & Bioengineering,Concept,Complete,,,,,
,Talking with neurons,,Hyunjung Kim Yuri Klebanov,Ikeuchi lab,,Biotech & Bioengineering,Experiment,Complete,,,,,
Nightingale,Laurien,,Taisuke Ikawa; Shota Kiuchi,Sugihara Lab,,Health & Wellbeing,Prototype,Active,2/2021,,,,
Nightingale,To-Mind,,"Chris Natt, Taisuke Ikawa",Matsunaga Lab,,Health & Wellbeing,Concept,Complete,2/2021,,,,
Nightingale,Karada-no-mado,,"Chris Natt, Taisuke Ikawa",Matsunaga Lab,,Health & Wellbeing,Concept,Complete,2/2021,,,,
,Future Tunnel,,Yuri Klebanov,Kobayashi Lab,Sezaki Lab,Spatial Design & Prototyping,Deployed,Complete,1/2018,6/2018,5,,"The Future Tunnel is an interactive installation based on research and technology from the University of Tokyo. It connects and visualizes the voices of the visitors and the sounds of nature and its wildlife. Blue skies and forest trees are projected onto the ceiling of the tunnel, and the chirping sounds generate vibrant images of the birds as they fly across the ceiling. The voices of the visitors are also visualized as virtual sound particles that emerge and diffuse, creating an immersive experience."
,Attune,,Yuri Klebanov,Sato Lab,,Health & Wellbeing,User test,Complete,2/2019,12/2020,22,,"Studies recently conducted in Matsunaga Lab shows that the shapes of human capillaries in the figure tips indicate our health condition and transformed depending on our life habits such as sleep, exercise, diet and drinking. The collaboration between DLX Platform of UTokyo and Bezalel Design Academy of Israel developed a novel system, Attune, which creates musical tunes from the image of capillaries in the fingertips. It allows people to easily and intuitively monitor their health conditions just by putting the fingers under microscopes."
